(forest ) plant sociology	森林植物社會學
Absorbing root	吸收根，吸根
Absorbing well	吸水井
Absorbing zone	吸收區
Absorption	吸收（作用）
Absorption cure	吸收曲線
Absorption function	吸收函數
Absorption loss	吸收損失
Absorption of nourishment	養分吸收
Absorption spectrum	吸收光譜
Abstract	摘要
Abudefduf bengalensis (Bloch)	孟加拉雀鯛
Abudefduf coelestinus Cuvier & Valencinenes	六帶雀鯛
Abudefduf lorenzi Hensley & Allen	尾斑雀鯛
Abudefduf notatus Day	暗色雀鯛
Abudefduf saxatilis (Quop & Gaimard)	條紋雀鯛
Abudefduf septemfascxiatus Cuvier & Valenciennes	七帶雀鯛
Abudefduf sordidus (Forsskal)	梭地雀鯛
Abundance	豐盛度
Abundance estimation	資源量評估
Abundance index	資源量指數
Abyssal region	深水區，深海區
Academic conference	學術會議
Academic organization	學術組織
Acanthocephaliasis	棘頭蟲病
Acanthocepola indica (Day)	印度紅簾魚
Acanthocepola krusensternii (Temminck & Schlegel)	紅簾魚
Acanthocepola limbata (Cuvier & Valenciennes)	一點紅簾魚、娘子魚
Acanthoclinidae	棘鰭銀寶科
Acanthocybium solandri (Cuvier & Valenciennes)	棘鰆、竹節鰆
Acanthogobius flavimanus (Temminck & Schlegel)	黃刺鰕虎魚
Acanthogobius ommaturus (Richardson)	尾斑刺鰕虎魚
Acanthopagrus berda (Forsskal)	灰鰭鯛
Acanthopagrus latus	黃鰭鯛
Acanthopagrus schlegeli	黑鯛、烏毛、厚唇、烏格
Acanthoplesiops hiatti (Schultz)	海特氏銀寶
Acanthuridae	粗皮鯛科、刺尾鯛科
Acanthurus bariene Lesson	黑點粗皮鯛
Acanthurus bleekeri Gunther	布氏粗皮鯛
Acanthurus dussumieri Cuvier & Valenciennes	杜氏粗皮鯛
Acanthurus gahhm (Forsskal)	黑斑粗皮鯛
Acanthurus glaucopareius Cuvier	白吻粗皮鯛
Acanthurus japonicus (Schmidt)	日本粗皮鯛
Acanthurus leucocheilus Herre	白頤粗皮鯛
Acanthurus leucopareius (Jenkins)	白頰粗皮鯛
Acanthurus lineatus (Linnaeus)	藍線粗皮鯛
Acanthurus lishenus Shen & Lim	麗生粗皮鯛
Acanthurus maculiceps (Ahl)	肩斑粗皮鯛
Acanthurus mata (Cuvier)	馬塔粗皮鯛
Acanthurus melanopterus Shen & Lim	黑鰭粗皮鯛
Acanthurus nigrofuscus (Forsskal)	斑頰粗皮鯛
Acanthurus olivaceus Bloch & Schneider	一字粗皮鯛
Acanthurus pyroferus Kittlitz	火斑粗皮鯛
Acanthurus reticulatus Shen & Lim	網紋粗皮鯛
Acanthurus triostegus (Linnaeus)	綠色粗皮鯛
Acanthurus xanthopterus Cuvier & Valenciennes	黃鰭粗皮鯛
Acariosis of bees	蜜蜂氣管?病
Accelerated storage	加速貯藏
Acceptable Daily In take ; ADI	每日可攝入容許量
Acceptable daily intai(e(ADI)	每日容許攝入量
Acceptance	承兌
Acceptor	受體
Access	發病
Accession	附加物
Accessory	副加物
Accessory adrenal gland	副腎上腺
Accessory branch	副枝
Accessory bud	副芽
Accessory calyx	副萼
Accessory cambium	副形成層
Accessory cell	副衛細胞
Accessory chromosome	副染色體
Accessory fruit	副果，假果
Accessory gland	副腺
Accessory pigment	輔助色素
Accessory plate	副次赤道板
Accessory sex gland	副性腺
Accessory shoot	副梢，輔助枝
Accessory species	次要種
Accessory vacuole	輔助液泡
Accident	異外
Accident catch	異外捕獲
Accident prevention	安全技術，防止事故
Accidental evolution	機遇性進化
Accidental parasite	偶然寄生物
Accidental variation	偶然變異
Acclimate	使馴化
Acclimation	馴化
Acclimation fever	水土病
Acclimatization	馴化作用
Acclimatize	使馴化
Accommodation	適應，調節
Accommodation coefficient	調節
Accommodation ladder	雙面梯
Accommodation road	專用道路
Accompanying infection	併發感染
Accountant-gennral	會計主任
Accounting  Office	會計室
Accounting Assistant	會計佐理員
Accounting Office	會計室
Accounting Officer	會計員
Accretion	澱土作用
Accrue	增目
Accumulate	累積
Accumulated temperature	積溫
Accumulation	累積，累積物
Accumulation horizon	聚積層
Accumulation level	累積標準
Accumulator	蓄電池
Accuracy	準確度
Accuracy (of measurement)	準確度(量測)
Accurate diagnosis	確診
Accustom to climate	氣候適應，風土馴化
Acellular plant	非細胞植物
Acentrogobius bontii (Bleeker)	龐氏銜鯊
Acentrogobius campbelli (Jordon & Snyder)	康培氏銜鯊
Acentrogobius cauerensis (Bleeker)	高倫氏銜鯊
Acentrogobius hoshinonis (Tanaka)	星銜鯊
Acentrogobius janthinopterus (Bleeker)	紫鰭銜蝦虎
Acentrogobius ornatus (Ruppell)	飾銜蝦虎
Acentrogobius spence (Smith)	珠點銜蝦虎
Aceratosis	角化不全
Acerb	酸澀的
Acerbity	酸澀，澀味
Acetate	醋酸鹽
Acetes	毛蝦
Acetes chinensis	中國毛蝦
Acetic acid	乙酸
Acetic acid	醋酸
Acetic acid bacterium	醋酸細菌
Acetic fermentation	醋酸發酵
Acetification	醋化作用
Acetify	醋化
Aceto-carmine stain	醋酸品紅染劑
Acetometer	醋酸計
Acetone	丙峒
Acheilognathus himantegus	台灣石鮒
Achievement	成果
Achromatic	非染色質的
Achromatic fibre	非染色質絲
Achromatic figure	非染色質象
Achromatic lens	消色差鏡
Achromatic spindle	非染色紡垂體
Achromatin	非染色質
Achromatism	無色，消色差
Achromatocyte	無色細胞
Achromatoplasm	非染色原生質
Achromophilus	不易染的
Achroodextrin	消色糊精
Acid	酸
Acid coagulation	酸凝聚
Acid detergent fiber ; ADF	酸洗纖維
Acid fermentation	酸發酵
Acid humification	酸性腐殖化作用
Acid humus	酸性腐殖質
Acid hydrolysis	酸水解
Acid intoxication	酸中毒
Acid medium	酸性培養基
Acid number	酸值
Acid phosphatase	酸性磷酸梅
Acid phosphate	酸式磷酸鹽
Acid precipitation	酸性降水
Acid rains	酸雨
Acid treatment	酸處理
Acid value	酸價
Acid whey	酸乳清
Acid-fast	耐酸的
Acid-fast bacteria	耐酸細菌
Acid-fast staining	固酸染色法
Acidic fertilizer	酸性肥料
Acidiferous	含酸的
Acidification	酸化（作用）
Acidifier	酸化劑
Acidity	酸度
Acidoid	酸性膠體
Acidometer	酸比重計
Acidophilic microorganism	嗜酸微生物
Acidophilous	適酸的，嗜酸的
Acidophobous	避酸的，嫌酸的
Acidosis	酸毒症
Acidotrophic	酸食性的
Acidovorx avenae subsp. citrulli (Schaad et al.) Willem et al.Pseudomonas Pseudoalcaligenes subsp. citrulli Schaad et al.	細菌性果斑病
Acidulous	微酸性的
Aciduric bacteria	耐酸細菌
Acinacea notha BORY de ST. VINCENT	黑刃
Acipenser chinensis Gray	中華鱘
Acipenseridae	鱘科
Acipenseriformes	鱘目
Acoustalure	聲誘魚裝置
Acoustic equipment	聲學儀器
Acoustic fishing	聲漁法
Acoustical ecology	音響生態學
Acoustics	聲學
Acquired Immune Deficiency Syndrome ; AIDS	後天免疫不全症候群
Acquired immunity	獲得性免疫
Acrania	無頭趙g
Acridity	苛性，腐蝕性
Acridivorous	食蝗的
Acromegalia	肢端肥大症
Acropoma hanedai Matsubara	羽根田氏發光鯛
Acropoma japonicum Gunther	日本發光鯛
Acrossocheilus fasciatus (Steindachner)	條紋石鯛
Acrossocheilus formosanus (Regan)	石鱒
Actin	肌動蛋白
Actiniaria	海葵類
Actinobacillosis in cattle	牛放射線桿菌病
Actinograph	日射計
Actinometer	日射表，露光計
Actinometry	日射測定法
Actinomycosis	放線菌病
Action	作用
Action level (regulatory)	執行限值(管制用)
Action limits (analytical quality control)	操作極限(分析品管用)
Actions Report Monitoring Systems ; ARMS	APEC行動計畫報告檢視系統
Activated sludge	活性污泥
Activated sludge process	活性污泥法
Activation	活化（作用）
Activation energy	活化能
Activator	活化劑
Active acidity	活性酸度，有效酸度
Active fault	活斷層
Active ferment	活性酵素
Active fertilizer	活性肥料
Active humus	活性腐殖質
Active hyperemia	活動性充血
Active infection	主動侵染
Active ingredient (ai)	有效成分
Active protection	積極保護
Active reaction	活性反應
Active region	活動區
Active resistance	自動抗病性
Active temperature	有效溫度
Active type	活動型
Active volume	有效容積
Activity	活性
Actomyosin	肌動球蛋白
Actual capacity	實際生產能力
Actual forest	現實林
Actual measurement	實物測量
Actual speed	實際速度
Actuating	開動
Aculeate	有皮刺的
Aculeus	刺狀產卵器
Acuminate	漸尖的
Acupuncture	針炙，針刺法
Acutc poisoning	急性中毒
Acute	急性的
Acute infection	急性感染
Acute inflammation	急性炎
Acute poisoning	急性中毒
Acute toxicity	急性毒性
Acute toxicity test	急性毒性試驗
Acuticostal	有尖銳稜角的
Ad Valorem Equivalents ; AVE	等量從價稅
Adaptability	適應性
Adaptation	適應
Adaptation to local conditions	因地制宜
Adapter	接合器
Adaption	適應
Adaptive	適應性的
Adaptive capacity	適應力
Adaptive enzyme	適應煤
Adaptive evolution	適應進化
Adaptive faculty	適應力
Adaptive radiation	適應輻射
Adaptive value	適應值
Adaptiveness	適應性
Adaptometer	適應計
Additional line	染色體加系
Additional point	輔助觀測站
Additional weight	附加重
Additive	添加劑
Additive	添加物
Additive effect	累加效應，加性效應
Additive factor	累加因子，加性因子
Additive gene	累加基因，加性基因
Additive genetic variance	加性遺傳變量
Additive variance	加性變量
Addle	腐敗的，不育的
Addle-egg	無胚卵，不育卵
Addled brood	死蛹病
Adductor	內收肌
Adeciduous plant	常綠植物
Adenic	腺的
Adeniform	腺狀的
Adenine	腺膘苓
Adenitis	腺炎
Adenocarcinoma	腺上皮癌
Adenoid tissue	腺樣組織
Adenology	腺體學
Adenolymphitis	淋巴結炎
Adenolymphoma	淋巴瘤
Adenoma	腺瘤
Adenoma folliculare	濾泡狀腺瘤
Adenoma papilliferum	乳頭狀腺瘤
Adenoma sebaceum	皮脂腺瘤
Adenophore	蜜腺柄
Adenophyllus	葉具腺的
Adenosine diphosphate	核甘二磷酸
Adenosine monophosphate	核甘一磷酸
Adenosine triphosphate	核甘三磷酸
Adherence	加入
Adhesive cell	黏著細胞
Adhesive force	黏著力
Adhesive gland	黏著腺
Adhesive organ	黏著官
Adhesive plaster	橡皮膏
Adiabatic temperature change	絕熱溫度變化
Adiministration Building	行政大樓
Adipoma	脂瘤
Adipose	多脂肪的
Adipose dorsal fin	脂鰭
Adipose gland	脂肪腺
Adipose growth	脂肪養生
Adipose membrane	脂肪膜
Adipose tissue	脂肪組織
Adiposita cordis	脂肪心
Adiposity	肥胖，多脂
Adjacent zone	鄰近區
Adjuvant	輔助劑
Administration Building	行政館
Administration Computer	管理電腦
Administration Regulations For Food Dealers	糧商管理規則
Administrative Reform Committee ; ARC	行政改革委員會
Adornment plant	觀賞植物
Adrenal cortex	腎上腺皮質
Adrenal cortex hormone	腎上腺皮質激素
Adrenal gland	腎上腺
Adrenal medulla	腎上腺髓質
Adrenalin	腎上腺素
Adrianichthyidae	怪額　科
Adsorption	吸附
Adult	成體
Adult fish	成魚
Adult fish pond	成魚池
Advance Passenger Clearance ; APC	加速旅客出關
Advance Passenger Information ; API	提昇旅客資訊
Advance Purchase Excursion ; APEX	預售優惠價
Advance payment guarantee	預付款保證
Aemasia lichenosa Jordan & Snyder	苔斑鯙
Aeoliscus strigatus (Gunther)	條紋蝦魚
Aeration system	打氣系統
Aerator	增氧機
Aerial Photogrammetric Target	航空標
Aerial Photogrammetry	航空攝影測量
Aerial Survey Office	農林航空測量所
Aerial Survey Office, Forestry Bureau	林務局農林航空測量所
Aerial Survey Office, Forestry Bureau	行政院農業委員會林務局農林航空測量所
Aerial photograph	航空照片
Aerial photograph interpretation	航照判毒
Aerial survey	航空偵察
Aerobic	好氣性
Aerobic bacteria	好氣細菌
Aerobic denitrification	好氣反硝化作用
Aerobic pathogen	需氧病原
Aerobic process	好氣過程
Aerobic respiration	需氧呼吸
Aerobiont	好氣生物
Aerobioscope	空氣微生物測定器
Aerobiosis	好氧生活
Aerobiotic	好氣的
Aerogenous	產氣的
Aerogenous infection	氣中侵染
Aerogenous pathogen	氣侵性病原
Aeromonas	氣單胞菌
Aerophoto	航空照片
Aerosol	懸浮微粒
Aerosphere	氣圈，氣界
Aerotolerant	耐氧的
Aerotropism	向氧性
Aesopia cornuta KAUP	角鰨沙
Aesthetics	美質
Aestival	夏季的
Aestivation	夏眠
Aetiology	病原學
Aetobatus narinari (Euphrasen)	雪花鴨嘴燕魟
Aetobatus reticulatus Teng	網紋鴨嘴燕魟
Aetomylaeus maculatus (Gray)	星點圓吻燕魟
Aetomylaeus milvus (Muller & Henle)	鷹形圓吻燕魟
Aetomylaeus nichofii (Bloch & Schneider)	青帶圓吻燕魟
Aetoplatea zonura Bleeker	菱鳶魟
Affect	影響
Affecting factor	作用因素
Affection	感染
Afferent nerve	傳入神經
Affinity	親合力
Affluent	支流
Affluent level	支流水位
Aflagellate	無鞭毛的
Aflatoxin	黃麴毒素
Africa	非洲
African Development Bank ; BAD	非洲開發銀行
African Horse Sickness	非洲馬疫
African Swine Fever	非洲豬瘟
African Swine Fever ; ASF	非洲豬瘟
African swine fever (ASF)	非洲豬瘟
Afro-Asian Rural Development Organization ; AARDO	亞非農村發展組織
Agamic	無性的，無配子的
Agamobium	無性世代
Agamogenesis	無性生殖
Agamogony	無配子生殖
Agamospecies	無性種
Agamous	無性的
Agar (agar-agar)	洋菜，瓊脂
Agar deep culture	瓊脂深層培養
Agar medium	瓊脂培養基
Agar plate method	瓊脂平面培養法
Agar-agar	石花菜
Agaric	傘菌
Agarodiase	擬瓊脂媒
Agaroid	擬瓊脂
Age and growth	年齡與成長
Age class	齡級
Age class structure	齡級結構
Age composition	年齡組成
Age distribution	年齡分佈
Age involution	年老衰退
Age structure	年齡結構
Age-length key	年齡長度關係
Age-length relationship	年齡體長關係
Aged residue	衰變殘留
Agency for International Development ; AID	國際發展署
Agent	作用物，藥劑
Agent of disease	病原體
Agglomerate	結球的，團集的
Agglomeration	團集（作用）
Agglutinant	凝集劑
Agglutinate	凝集
Agglutination	凝集（作用）
Agglutination reaction	凝集反應
Agglutination test	凝集試驗
Agglutinin	凝集素
Agglutinogen	凝集原
Aggradation	填積作用
Aggravation	惡化
Aggregate	團聚體
Aggregate Measurement of Support ; AMS	農業境內總支持
Aggregate analysis	團聚分析
Aggregate dominance	聚加顯性
Aggregate formation	團聚體形成作用
Aggregate fruit	聚合果
Aggregate parenchyma	聚合薄壁組織
Aggregate plasmodium	聚合原質團
Aggregate ray	聚合射
Aggregate sample	聚集樣品
Aggregate species	復合種
Aggregate structure	團聚結構
Aggregate tonnage	總噸位
Aggregation	團聚作用
Aggressive	侵襲性的
Aggressive pathogen	侵襲性病原
Aggressive root system	強根系
Aggressivity	欽襲力
Aging	熟成
Aging stability	耐老化性
Agitate	攪動
Agitation	攪動 〔作用〕
Agitator	攪動器，攪絆器
Agitator sprocket	抖動鍵輪
Aglycon	醣甘配基
Agnatha	無顎綱
Agnathous	無鄂的
Agreement	協定
Agreement of the Application of Sanitary and Phytosanitary Measures	食品安全檢驗與動植物防疫檢疫措施協定
Agreement on Agriculture	農業協定
Agreement on Agriculture ; AA	農業協定
Agreement on Government Procurement ; Government Procurement Agreement ; AGP ; GPA	政府採購協定
Agreement on Rules of Origin ; ARO	原產地規定協定
Agreement on Safeguards ; AS	安全防衛（逃避）協定
Agreement on Technical Barriers to Trade ; TBT Agreement	貿易技術障礙協定
Agreement on Textiles and Clothing ; ATC	紡織品與成衣協定
Agreement on Trade-Related Aspects of Intellectual Property Rights ; TRIPS ; TRIPs	與貿易有關之智慧財產權協定
Agreement on Trade-Related Investment Measures ; TRIMs	與貿易有關投資措施協定
Agreement on the Application of Sanitary and Phytosanitary Measures ; SPS Agreement	動植物檢疫適用測量標準協定
Agreement on the Sanitary and Phytosanitary Measures ; ASPM	動植物檢疫協定
Agreements	補充協定
Agricultural	農業的
Agricultural Adjustment Act ; AAA	農業調節法
Agricultural Bank of Taiwan	全國農業金庫
Agricultural Chemicals and Toxic Substances Research Institute	農業藥物毒物試驗所
Agricultural Chemistry	農業化學組
Agricultural Credit Guarantee Fund	農業信用保證基金
Agricultural Credit Guarantee Fund ; ACGF	農業信用保證基金
Agricultural Development Fund loan	農業發展基金貸款
Agricultural Economics	農業經濟組
Agricultural Engineering	農業工程組
Agricultural Finance	農業金融
Agricultural Finance Law	農業金融法
Agricultural Project Loan	專案農貸
Agricultural Research Institute	農業試驗所
Agricultural Research institute, Council of Agriculture, Executive Yuan	行政院農業委員會農業試驗所
Agricultural Technical Cooperation ; ATC	農業技術合作
Agricultural Technical Cooperation Working Group ; APEC ATCWG	亞太經濟合作農業技術合作工作小組
Agricultural Technology Transfer and Training ; ATT&T	農業技術轉移暨訓練
Agricultural Working Group ; AWG	農業工作小組
Agricultural acreage	耕地面積
Agricultural antibiotic	農用抗菌素
Agricultural bacteriology	農業細菌學
Agricultural biology	農業生物學
Agricultural botany	農業植物學
Agricultural chemicals	農藥
Agricultural climatology	農業氣候學
Agricultural co-operation	農業合作化
Agricultural collectivization	農業集體化
Agricultural college	農學院
Agricultural drain	農業排水
Agricultural ecology	農業生態學
Agricultural engineer	農業工程師
Agricultural entomology	農業昆蟲學
Agricultural exhibition	農業展覽
Agricultural experiment station	農業試驗站
Agricultural finance institutes	農業金融機構
Agricultural implements	農機具
Agricultural insecticide	農業殺蟲劑
Agricultural investigation	農業調查
Agricultural loan	農業貸款
Agricultural machinery	農業機械
Agricultural management	農業管理
Agricultural meterology	農業氣象學
Agricultural microclimate	農田小氣象
Agricultural physics	農業物理學
Agricultural producer's cooperative	農業生產合作社
Agricultural scientific academy	農業研究所
Agricultural season	農作季節
Agricultural statistics	農業統計學
Agricultural tax	農業稅
Agricultural technique	農業技術
Agricultural timber	農業用材
Agricultural tractor	農用拖拉機
Agricultural training school	農業技術學校
Agricultural tyre	農用輪胎
Agricultural univresity	農業大學
Agricultural wastewater	農業污水
Agriculture	農業，農學
Agriculture Production and Marketing Groups	產銷班
Agriculture and Food Agency	農糧署
Agriculture and Food Agency ; AFA	農糧署
Agriculture economics	農業經濟
Agriculture pollution	農業污染
Agriculturist	農學家
Agrimony	龍芽草
Agrimotor	農用拖拉機
Agrobiology	農業生物學
Agrobotany	農業植物學
Agrochemical soil map	農業化學土壤圖
Agrochemistry	農業化學
Agroecology	農業生態學
Agroecotype	作物生態型
Agroehenlcal	農用化學品
Agrogeological map	土壤地質圖
Agrogeology	農業地質學
Agromelioration	農業土壤改良
Agrometerological forecasting	農業氣象預報
Agrometerological station	農業氣象站
Agron	土壤腐殖質殘積層
Agronomic	農藝學的
Agronomic character	農藝性狀
Agropedology	農業土壤學
Agropisciculture	農漁綜合養殖
Agrostology	禾草學
Aimed fishing	瞄準撈捕
Air	空氣
Air bladder	鰾，氣泡
Air bladder disease	氣泡病
Air blast freezer	吹風凍結裝置
Air blast freezing	吹風凍結
Air bubble	氣泡
Air cleaner	空氣濾清器
Air compressor	空氣壓縮機
Air conditioning	空氣調節
Air cooling	空氣冷卻
Air current	氣流
Air discharge	排氣
Air embolism	氣體栓塞症
Air mass	氣團
Air parcel	氣塊
Air particle	氣粒
Air permeability	透氣性
Air pollution	空氣污染
Air pressure	氣壓
Air purification equipment	空氣淨化裝置
Air sac	氣囊
Air spraying	飛機噴霧
Air supply system	打氣系統
Air temperature	氣溫
Air thermometer	空氣溫度表
Air-bubble curtain	氣泡幕
Air-cooled storage	通風貯藏
Air-dried	風乾的
Air-dry	風乾
Air-freezing	空氣冷凍法
Air-mass	氣團
Air-proof	密封的
Air-root	氣根
Air-tight separator	氣密式分離器
Akaryote	無核細胞
Akaryotic	無核的
Akin	同族的，同類的
Akinesia	運動不能
Akinesis	靜態
Alanine	丙氨酸
Alarm buzzer	警報裝置
Alarming system	警報系統
Alaska pollack	阿拉斯加 魚
Albacore	長鰭鮪
Albacore fishery	長鰭鮪漁業
Albacore resources	長鰭鮪資源
Albedo	反射力
Albinism	白化症，白化現象
Albino	白化體
Albula vulpes (Linnaeus)	狐嗞
Albulidae	狐嗞科、北梭魚科
Albumen	蛋白，胚乳
Albumin	白蛋白
Albumin cell	蛋白質細胞
Albuminate	蛋白鹽
Albuminoid	類蛋白
Albuminous	蛋白的，有胚乳的
Albuminous seed	有胚乳的種子
Albuminous urine	蛋白尿
Alcholic diets	高酒精飼料
Alcohol	酒精，乙醇
Alcohol thermometer	酒精溫度計
Alcoholic beverage	酒精飲料
Alcoholic fermentation	酒精發酵
Alcoholic wax	酒精接蠟
Alcoholysis	醇解〔作用〕
Aldehyde	荃類
Alectis ciliaris (Bloch)	白鬚儁
Alectis indica (Ruppell)	印度白鬚儁
Alembic	蒸餾鍋
Alepes djedaba (Forsskal)	吉打儁
Alepes melanopterus Swainson	黑鰭儁
Alepisauridae	槍蜥魚科、帆蜥魚科
Alepisaurus borealis Gill	北方槍蜥魚
Alepocephalidae	黑頭魚科
Alepocephalus bicolor Alcock	黑頭魚
Alfalfa meal	苜蓿草粉
Alfalfa molasses feed	苜蓿糖密料
Alfalfa pellet	苜蓿粒
Alfalfa products	苜蓿產品
Alfalfa protein concentrate	濃縮苜蓿葉蛋白
Alga	藻類
Algae	藻類
Algae culture	藻類養殖
Algae disease	藻類病害
Algae fish disease	藻類性魚病
Algae seeding rearing	藻類育苗
Algal	藻類的
Algal bloom	藻類繁生
Algal settlement	藻類定植
Algetic	有病的，病態的
Algicide	殺藻劑
Algin	褐藻酸，褐藻膠
Alginate sodium	褐藻酸鈉
Alginic acid	褐藻酸
Algoflora	藻類區系
Algology	藻類學
Algophagous	食藻的
Ali- shan’s turtle-designed snake	阿里山龜殼花(山烙鐵頭)
Alien Employment Permit ; AEP	外籍人士工作許可
Aliment	食物，營養
Alimentary	食物的，消化的
Alimentary canal	消化道
Alimentary crop	糧食作用
Alimentary organ	消化器官
Alimentary tube	消化道
Alimentation	營養法
Alinement	排裂成行
Aliphatic acid	脂肪酸
Aliquot	等分試樣
Alishan  Garage	阿里山車庫
Alishan  Hotel	阿里山賓館
Alishan  Station	阿里山工作站
Alishan Forest Recreation Area	阿里山森林遊樂區
Alishan Railway Maintenance Section	阿里山監工區
Alishan Station	阿里山車站
Alishan Thousand Year Cypress	千歲檜
Alishan Youth  Activity  Center	阿里山青年活動中心
Alkalescent	帶鹼性的
Alkali	鹼
Alkali disease	鹼性病
Alkali earth	鹼土
Alkali flat	鹼灘
Alkali soil	鹼土
Alkali spot	鹼斑
Alkali treatment	鹼處理
Alkali-resistant	抗鹼的
Alkalify	鹼度，鹼性
Alkalimetry	生物鹼測定法
Alkaline gland	鹼腺
Alkaline meadow soil	鹼性草甸土
Alkaline metal	鹼金屬
Alkaline phostphatase	鹼性磷酸敫
Alkaline plant	鹼性植物
Alkaline pulping process	鹼法製漿
Alkaline soil	鹼性土
Alkaline spring	鹼性礦泉
Alkaline-earth metal	鹼土金屬
Alkalinity	鹼度，鹼性
Alkalipoisoning	鹼中毒
Alkalitherapy	鹼療法
Alkalitropism	嚮鹼性
Alkalization	鹼化〔作用〕
Alkalize	鹼化
Alkalized soil	鹼化土
Alkaloid	生物鹼
Alkaloidal	生物鹼的
Alkalometry	生物鹼測定法
Alkalosis	鹼中毒
All-important variety	最重要的變種
All-mash	全濕粉〔飼〕料
All-purpose tractor	通用托拉機
Allanetta bleekeri (Gunther)	布氏銀漢魚
Allanetta woodwardi (Jordan & Starks)	吳氏銀漢魚
Allantoic acid	尿囊酸
Allantoid	臘腸狀的
Allantoin	尿囊素
Allantois	尿囊
Allelogenesis	世代交替
Allelopathy	毒他作用
Allelosomal	等位染色體的
Allergic reaction	過敏反應
Allergic test	過敏試驗
Allergy	過敏性
Alley	園中小徑
Alligator	鱷魚
Alligator culture	鱷魚養殖
Alligator mississippiensis	美洲鱷
Alligator sinensis	揚子尋
Allocation	分配，配置
Allochroic	能變色的
Allochroic species	生活年代不重疊種
Alloconger anagoides (BLEEKER)	異糯鰻
Alloconger major ASANO	大異糯鰻
Allodiploid	異源二倍體
Allogamy	異體受精，異花受粉
Allogene	異基因，隱性基因
Allogenic succession	異發演替
Allogenic transformation	異源轉化
Allohaploid	單源單倍體
Alloheteroploid	異源異倍體
